City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,ribeira grande,38.5167,-28.7,22.22,83,20,6.17,PT,1717949549
127,marianna,30.7744,-85.2269,33.31,48,0,2.59,US,1717949549
128,egilsstadir,65.2653,-14.3948,8.72,72,100,3.03,IS,1717949550
129,tadmur,34.5608,38.2805,33.09,19,77,11.26,SY,1717949550
130,burang,30.25,81.1667,5.82,67,58,2.94,CN,1717949551
131,san clemente del tuyu,-36.3569,-56.7235,22.21,85,80,5.12,AR,1717949407
132,izazi,-7.2,35.7333,23.66,42,16,6.57,TZ,1717949551
133,carnarvon,-24.8667,113.6333,20.72,88,100,1.32,AU,1717949552
134,kwang binh,17.4833,106.6,28.0,78,100,2.88,VN,1717949291
135,kalmunai,7.4167,81.8167,29.05,72,100,1.18,LK,1717949350
136,ancud,-41.8697,-73.8203,11.24,84,96,6.6,CL,1717949553
137,punta arenas,-53.15,-70.9167,2.06,80,40,3.09,CL,1717949525
138,tagta,41.6504,59.9164,34.45,19,56,7.2,TM,1717949554
139,howrah,22.5892,88.3103,32.0,84,40,6.17,IN,1717949431
140,mount pearl,47.5166,-52.7813,17.19,71,75,4.12,CA,1717949366
141,flying fish cove,-10.4217,105.6791,25.82,83,75,5.66,CX,1717949555
142,olonkinbyen,70.9221,-8.7187,-0.92,81,88,7.7,SJ,1717949556
143,belyy yar,53.6039,91.3903,17.94,72,0,3.0,RU,1717949556
144,coquimbo,-29.9533,-71.3436,15.85,76,0,1.03,CL,1717949504
145,igarka,67.4667,86.5833,11.68,79,100,4.02,RU,1717949484
146,fort st. john,56.2499,-120.8529,5.25,85,100,1.65,CA,1717949558
147,colonia,50.9333,6.95,20.97,41,0,5.14,DE,1717949343
148,hakui,36.8833,136.7833,21.25,87,100,0.46,JP,1717949559
149,gorontalo,0.5412,123.0595,24.17,97,98,0.77,ID,1717949560
150,glace bay,46.1969,-59.957,20.09,76,63,2.13,CA,1717949560
151,ciudad lazaro cardenas,17.9583,-102.2,29.48,56,20,2.85,MX,1717949436
152,gadzhiyevo,69.2551,33.3362,7.7,77,16,7.83,RU,1717949561
153,pangody,65.85,74.4859,7.72,73,100,2.95,RU,1717949561
154,boa vista,2.8197,-60.6733,27.99,74,75,1.54,BR,1717949522
155,college,64.8569,-147.8028,20.44,46,75,2.06,US,1717949562
156,saldanha,-33.0117,17.9442,14.67,71,7,4.81,ZA,1717949563
157,goba,7.0167,39.9833,12.36,83,94,2.28,ET,1717949563
158,perry,37.2506,-83.1999,26.1,76,100,3.05,US,1717949564
159,paracuru,-3.41,-39.0306,30.06,69,85,5.09,BR,1717949564
160,el calafate,-50.3408,-72.2768,1.91,99,100,2.01,AR,1717949398
161,kapuskasing,49.4169,-82.4331,8.05,93,100,6.17,CA,1717949296
162,port douglas,-16.4833,145.4667,18.52,69,5,2.21,AU,1717949566
163,oranjemund,-28.55,16.4333,21.69,28,43,6.26,NA,1717949566
164,shortandy,51.7006,70.9994,19.42,77,87,3.36,KZ,1717949567
165,bay roberts,47.5999,-53.2648,17.86,84,80,2.3,CA,1717949567
166,huilong,31.8111,121.655,22.76,71,99,3.57,CN,1717949568
167,thief river falls,48.1191,-96.1812,16.53,71,100,7.72,US,1717949530
168,olinda,-8.0089,-34.8553,28.85,74,75,8.75,BR,1717949570
169,luba,3.4568,8.5547,26.43,88,86,5.48,GQ,1717949570
170,chibougamau,49.9168,-74.3659,12.79,94,100,5.14,CA,1717949371
171,tolanaro,-25.0319,46.9987,17.25,79,100,3.74,MG,1717949571
172,kingston,17.997,-76.7936,31.76,67,99,4.2,JM,1717949471
173,port alfred,-33.5906,26.891,16.5,64,0,2.84,ZA,1717949572
174,salaga,8.5508,-0.5188,33.44,44,95,4.12,GH,1717949572
175,yeppoon,-23.1333,150.7333,10.7,68,0,2.27,AU,1717949573
176,queenstown,-31.8976,26.8753,11.63,47,0,2.66,ZA,1717949574
177,invercargill,-46.4,168.35,8.34,96,100,4.92,NZ,1717949574
178,saint-pierre,-21.3393,55.4781,22.82,73,40,4.12,RE,1717949575
179,meiganga,6.5167,14.3,21.36,89,72,3.72,CM,1717949575
180,hovd,48.0056,91.6419,19.29,46,44,2.41,MN,1717949576
181,chegdomyn,51.1167,133.0167,12.23,95,100,1.08,RU,1717949370
182,whitehorse,60.7161,-135.0538,17.12,32,81,5.81,CA,1717949330
183,dubovskoye,47.4092,42.7575,25.18,50,97,1.99,RU,1717949577
184,pauini,-7.7136,-66.9764,33.87,38,21,1.44,BR,1717949578
185,pisco,-13.7,-76.2167,17.03,94,100,3.6,PE,1717949578
186,kodiak,57.79,-152.4072,6.73,100,100,10.8,US,1717949579
187,kununurra,-15.7667,128.7333,12.99,88,60,0.0,AU,1717949580
188,kohlu,29.8962,69.252,28.04,24,15,2.12,PK,1717949580
